"Team","Wins","Losses","Win %","Avg Elo Gain","Total Elo Gain"
"Team NP","9","1","90.00%","-","-"
"Team Liquid","27","8","77.14%","-","-"
"LGD.Forever Young","29","11","72.50%","-","-"
"LGD-GAMING","28","13","68.29%","-","-"
"Planet Dog","14","7","66.67%","-","-"
"Team Freedom","12","6","66.67%","-","-"
"Midas Club Elite","9","5","64.29%","-","-"
"Newbee","17","10","62.96%","-","-"
"Team Empire","23","14","62.16%","-","-"
"Team. Spirit","11","7","61.11%","-","-"
"SG e-sports team","11","7","61.11%","-","-"
"Team Singularity","9","6","60.00%","-","-"
"Team Secret","17","12","58.62%","-","-"
"mousesports","11","8","57.89%","-","-"
"TNC Pro Team","16","12","57.14%","-","-"
"OG","12","9","57.14%","-","-"
"M19","8","6","57.14%","-","-"
"Virtus.pro","13","10","56.52%","-","-"
"Infamous、","18","14","56.25%","-","-"
"Clutch Gamers","9","7","56.25%","-","-"
"Vega Squadron","9","7","56.25%","-","-"
"Natus Vincere","5","4","55.56%","-","-"
"Evil Geniuses","11","9","55.00%","-","-"
"Invictus Gaming","13","11","54.17%","-","-"
"iG.Vitality","14","12","53.85%","-","-"
"Danish Bears","9","8","52.94%","-","-"
"Digital Chaos","22","21","51.16%","-","-"
"compLexity Gaming","9","9","50.00%","-","-"
"Mineski.YDB","7","7","50.00%","-","-"
"w33ha earthspirit","7","7","50.00%","-","-"
"Faceless","5","5","50.00%","-","-"
"Gambit Esports","4","4","50.00%","-","-"
"Unknown Team","4","4","50.00%","-","-"
"KEEN GAMING","7","8","46.67%","-","-"
"Wheel Whreck While Whistling","6","7","46.15%","-","-"
"CDEC Gaming","4","5","44.44%","-","-"
"EHOME","4","5","44.44%","-","-"
"Fnatic","12","16","42.86%","-","-"
"Vici Gaming","6","8","42.86%","-","-"
"Elite Wolves","3","4","42.86%","-","-"
"MAD KINGS-","5","7","41.67%","-","-"
"Execration","14","20","41.18%","-","-"
"Geek Fam","3","5","37.50%","-","-"
"Guess","3","5","37.50%","-","-"
"Cloud9","6","11","35.29%","-","-"
"4 protect five","3","6","33.33%","-","-"
"Alliance","3","6","33.33%","-","-"
"Effect","3","6","33.33%","-","-"
"PENTA Sports","3","6","33.33%","-","-"
"STARS e-Sports","3","6","33.33%","-","-"
"Team Red","3","6","33.33%","-","-"
"FTD.a","3","6","33.33%","-","-"
"Team VGJ","3","6","33.33%","-","-"
"TEAM MAX","3","6","33.33%","-","-"
"Union Gaming Bolivia","2","5","28.57%","-","-"
"Happy Feet","2","6","25.00%","-","-"
"Moogle","2","6","25.00%","-","-"
"@ANIME PRO BOKSERA","2","6","25.00%","-","-"
"Crescendo","2","7","22.22%","-","-"
"anthrax","1","7","12.50%","-","-"
"Double Dimension","1","8","11.11%","-","-"
"Comanche","1","8","11.11%","-","-"
"Cool Beans","1","8","11.11%","-","-"
"Starboyz","1","8","11.11%","-","-"
"OverPower","1","8","11.11%","-","-"
"HellRaisers","1","15","6.25%","-","-"
"Skatemasters","0","7","0.00%","-","-"
"Colombia DotA","0","4","0.00%","-","-"