"Team			"
"Team NP			"
"Team Liquid			"
"LGD.Forever Young			"
"LGD-GAMING			"
"Planet Dog			"
"Team Freedom			"
"Midas Club Elite			"
"Newbee			"
"Team Empire			"
"Team. Spirit			"
"SG e-sports team			"
"Team Singularity			"
"Team Secret			"
"mousesports			"
"TNC Pro Team			"
"OG			"
"M19			"
"Virtus.pro			"
"Infamousã€Å			"
"Clutch Gamers			"
"Vega Squadron			"
"Natus Vincere			"
"Evil Geniuses			"
"Invictus Gaming			"
"iG.Vitality			"
"Danish Bears			"
"Digital Chaos			"
"compLexity Gaming			"
"Mineski.YDB			"
"w33ha earthspirit			"
"Faceless			"
"Gambit Esports			"
"Unknown Team			"
"KEEN GAMING			"
"Wheel Whreck While Whistling			"
"CDEC Gaming			"
"EHOME			"
"Fnatic			"
"Vici Gaming			"
"Elite Wolves			"
"MAD KINGS-			"
"Execration			"
"Geek Fam			"
"Guess			"
"Cloud9			"
"4 protect five			"
"Alliance			"
"Effect			"
"PENTA Sports			"
"STARS e-Sports			"
"Team Red			"
"FTD.a			"
"Team VGJ			"
"TEAM MAX			"
"Union Gaming Bolivia			"
"Happy Feet			"
"Moogle			"
"@ANIME PRO BOKSERA			"
"Crescendo			"
"anthrax			"
"Double Dimension			"
"Comanche			"
"Cool Beans			"
"Starboyz			"
"OverPower			"
"HellRaisers			"
"Skatemasters			"
"Colombia DotA			"